GENE	Liver_Normal.Tissue: GSM176332	Liver_Normal.Tissue: GSM176333	Liver_Normal.Tissue: GSM176334	Liver_Normal.Tissue: GSM176335	Liver_Normal.Tissue: GSM279063	Liver_Normal.Tissue: GSM279064	Liver_Normal.Tissue: GSM279065
N4BP2	68.19	252.74	38.40	81.58	266.58	130.55	160.64
ATF7IP	243.28	373.33	338.85	267.80	324.91	433.74	359.59
FAM222B	322.40	284.88	294.07	316.66	224.08	217.34	245.01
C1orf112	17.20	23.13	20.95	15.47	27.79	24.76	23.90
HHAT	59.24	46.29	47.05	37.78	32.03	41.81	44.40
ZFP64	117.90	132.37	124.43	117.12	127.90	116.63	119.63
DNAJC11	379.77	310.55	393.82	291.37	400.79	424.88	409.81
VPS35	765.04	764.67	740.68	750.03	763.88	729.37	703.98
ARFGAP1	347.00	240.92	315.13	280.74	210.52	213.04	218.79
CARKD	2118.31	1417.27	1746.56	1988.96	1447.15	1593.96	1444.35
PRKAR1A	929.24	783.89	1351.64	1020.81	1023.57	895.28	834.06
ENAH	69.59	83.96	66.28	60.69	76.02	62.68	65.37
EDEM2	178.81	182.10	131.21	169.37	227.45	236.30	219.06
PARVA	129.01	133.16	139.64	143.67	203.33	250.92	247.62
CHFR	142.02	94.62	95.23	140.90	184.84	196.20	200.59
COA1	142.94	221.83	204.46	198.64	212.51	199.98	228.98
AP5M1	460.74	328.53	485.12	547.57	430.72	405.46	367.86
NUP133	94.27	86.20	88.40	76.11	123.46	126.26	121.64
CNDP2	3223.70	2250.45	2694.31	2879.49	2287.41	2054.26	2042.61
CCAR1	657.43	603.58	612.81	600.28	738.06	721.87	681.33
AGK	142.98	139.11	140.46	125.37	115.87	127.42	111.91
TMEM184C	408.08	325.02	424.32	419.43	466.39	356.21	422.94
Sep-11	106.60	156.77	217.94	245.28	187.14	175.75	190.82
OGDHL	1455.50	1648.23	1350.52	1595.73	794.72	926.41	970.71
TMEM30A	400.01	466.55	513.42	326.24	457.08	421.39	407.57
CDK5RAP2	185.62	220.98	290.16	178.19	338.54	302.96	296.54
INTS9	81.48	75.68	99.95	69.35	57.69	79.29	71.13
UGGT2	45.94	48.37	46.07	42.63	48.72	54.45	56.17
RCOR3	143.71	126.24	200.64	186.64	305.03	283.79	288.21
WDR12	379.54	518.61	507.20	636.23	637.38	658.94	634.29
PRKAR1B	158.74	138.45	147.29	204.97	125.73	70.44	132.53
DHX32	484.08	651.90	601.03	515.53	691.84	711.79	734.44
TTC17	786.77	702.62	725.03	563.71	961.54	996.21	947.18
ZNF701	34.54	27.53	26.48	28.32	33.07	37.22	41.81
EXOC1	389.34	342.58	341.25	240.92	344.41	281.29	226.80
IFT122	267.58	236.48	112.85	207.38	192.98	145.76	171.77
H2AFJ	51.18	37.81	38.84	48.30	30.91	28.40	33.32
NGLY1	655.70	534.63	570.78	585.12	617.29	632.36	680.66
ZNF83	51.44	54.26	61.12	56.88	180.32	135.31	142.91
PRKAR2A	126.18	122.62	106.01	97.07	101.72	97.13	82.71
EXOC2	59.70	58.81	80.07	55.84	113.80	111.16	103.60
TDP1	108.01	76.43	75.96	84.55	59.15	68.01	65.10
SAYSD1	103.58	84.77	89.92	106.25	90.94	97.05	106.94
MBD5	20.69	23.99	18.90	16.73	20.24	18.76	21.63
ZNF839	115.35	106.67	97.07	80.78	100.29	116.33	108.29
PRKAR2B	87.66	66.72	79.32	53.79	178.02	178.81	160.22
ERMARD	424.88	425.47	399.90	485.46	490.94	437.70	433.32
RIOK2	214.75	152.22	99.50	94.48	187.57	186.26	152.92
CMTR2	119.91	71.65	115.03	89.54	341.77	299.89	302.54
FGD6	33.13	28.01	33.60	28.74	26.73	24.72	27.08
ZNF415	28.89	28.06	29.88	27.30	28.82	29.51	30.28
TXLNG	39.14	43.34	34.92	36.13	36.17	32.52	39.43
LMBRD1	1015.31	1250.68	1113.82	1147.28	1464.00	1600.83	1548.01
DEPDC1B	15.43	15.44	16.73	17.64	16.49	12.99	14.44
PRKCA	96.29	131.08	138.55	103.75	121.87	130.46	137.85
CSGALNACT1	22.65	34.51	38.83	30.88	88.92	88.02	60.71
LRIF1	67.68	170.00	122.53	76.33	217.84	234.69	208.76
FAM63A	421.12	574.47	552.72	389.83	461.70	567.31	659.85
DDX28	65.69	70.77	68.05	93.29	66.93	64.94	71.28
PCID2	239.65	292.74	280.90	189.82	258.59	302.46	316.49
MBNL3	43.78	98.71	31.92	51.93	78.29	90.74	61.06
CACNA2D3	20.23	20.39	19.51	23.24	17.12	17.60	11.07
PRKCB	164.13	75.31	166.24	87.96	66.42	84.51	88.35
SCN3B	26.51	27.05	27.12	26.21	26.16	31.44	49.59
IL26	12.22	12.82	13.22	13.47	13.57	14.13	12.77
DCP1A	347.94	356.44	316.03	244.11	400.65	409.01	372.19
ADAP2	243.98	181.75	398.63	224.94	126.60	119.43	135.82
LRP2BP	24.27	20.87	21.91	24.57	26.02	27.99	31.43
HR	139.08	165.87	170.00	137.92	105.18	88.47	125.64
ST6GALNAC1	26.92	26.02	22.94	33.13	22.17	21.92	20.53
TRERF1	41.50	35.97	42.95	47.09	38.28	40.77	44.26
PRKCD	77.02	50.11	57.56	68.05	50.02	58.49	55.02
FOXJ2	422.21	407.82	439.92	336.04	411.69	464.91	521.38
ADCY10	41.79	38.86	37.75	44.26	44.72	44.19	39.64
SPATA7	41.39	36.33	61.93	54.34	61.04	57.52	47.18
UTP6	383.72	439.19	524.14	388.97	407.15	447.73	442.31
BDP1	65.29	69.72	72.30	64.86	72.09	72.65	73.13
TSNAXIP1	79.55	76.20	110.85	91.45	112.38	138.58	87.48
DOK5	80.74	74.66	97.57	85.49	56.34	53.94	57.94
KDM3A	254.21	349.20	300.14	231.07	388.97	356.66	432.87
RNF130	1242.47	1555.97	1110.58	1351.64	1031.91	1030.48	1053.23
PRKCE	132.09	114.01	86.54	77.71	88.22	133.69	127.29
ALLC	53.66	47.25	53.15	52.68	75.63	69.94	91.98
VPS11	312.69	315.94	320.33	294.15	342.27	348.47	374.39
PAG1	218.56	68.15	110.65	92.76	161.95	166.32	141.92
PECR	717.04	1943.58	1173.74	1451.27	849.99	824.00	819.95
DCAF6	625.25	1153.34	756.92	637.91	1055.42	889.53	838.23
VIMP	867.13	658.03	818.14	924.74	959.14	954.90	924.74
PRKCG	62.96	51.13	69.74	61.58	46.02	55.24	54.55
GLT8D1	566.17	360.91	403.60	572.37	635.13	582.94	543.98
EMC3	813.28	709.37	601.82	905.96	684.16	617.80	699.99
CAND1	147.33	214.09	143.43	143.85	336.53	295.97	264.13
UBAP2	254.14	243.54	258.10	274.15	350.46	334.95	359.81
CENPJ	47.94	42.02	39.48	46.34	47.79	51.07	48.28
EAPP	320.06	396.97	214.26	389.48	386.76	354.71	394.83
CENPN	35.76	35.41	40.41	46.39	46.18	51.87	48.29
PRKCH	191.06	211.00	222.46	139.91	160.92	232.39	211.10
EAF2	43.26	33.09	44.41	43.43	32.86	33.21	32.82
WWC3	236.48	205.91	167.75	136.18	207.97	208.80	194.58
ARHGAP15	215.45	183.10	171.72	160.56	322.58	280.20	332.98
PPP2R2D	120.42	121.58	122.97	140.49	163.01	152.29	132.18
BRK1	1033.34	1146.40	757.29	856.73	1247.57	1283.26	1361.33
ITFG2	180.04	237.47	167.22	153.25	190.30	222.18	182.01
CISD1	1538.49	1187.49	1580.54	1887.94	1049.66	1076.25	1024.92
PLGRKT	179.78	128.58	265.29	273.84	131.14	164.50	136.14
ALG13	239.40	218.50	209.28	174.41	347.84	288.87	252.55
PRKCI	168.29	179.33	219.41	166.40	263.71	311.98	248.79
USE1	120.48	84.57	78.14	134.06	87.56	125.91	91.35
PSENEN	208.44	252.81	226.98	348.47	69.02	97.03	101.09
TEX2	477.55	440.99	596.30	664.67	1239.46	1200.57	950.74
IDI2-AS1	26.71	34.52	45.02	32.42	36.06	34.94	33.43
ZC3H15	766.21	834.06	863.11	1061.29	550.77	594.07	600.03
FAM45B	249.86	327.28	292.50	229.76	148.87	191.35	190.53
ACOT13	454.71	1011.30	802.41	643.01	496.48	555.33	543.79
KIZ	124.98	122.85	115.46	70.12	174.89	132.84	141.10
TMEM165	155.07	123.49	201.45	190.53	178.37	215.45	178.50
BEX1	61.53	63.34	95.16	82.74	62.53	49.97	53.54
PKN1	218.62	137.92	97.46	130.53	81.14	64.12	86.41
ACTR10	730.78	720.82	776.15	861.67	758.81	703.98	669.81
ECHDC1	427.30	437.70	725.79	431.88	378.83	378.59	356.78
TMEM126B	577.51	605.59	733.68	750.39	679.72	620.98	503.83
SLC22A11	29.96	26.43	27.00	36.09	29.53	22.14	23.97
HDAC8	72.87	99.34	70.89	83.80	83.84	82.71	87.31
PKN2	402.60	515.92	546.74	331.53	725.79	690.55	761.55
ASH1L	442.92	492.68	448.82	278.98	503.06	460.23	496.31
PBK	28.44	24.31	23.98	28.43	17.03	16.44	16.97
GSDMB	1164.75	880.21	1344.54	857.74	1320.07	1277.94	1274.75
GABRQ	41.98	37.60	41.83	35.95	31.75	33.29	41.14
PRKD1	38.61	39.94	37.54	43.97	46.59	43.40	36.03
WSB2	839.16	666.43	1152.46	1062.83	1444.35	1447.15	1395.05
LMO3	32.45	40.79	47.09	35.25	35.89	42.34	35.60
ZKSCAN7	32.12	39.78	32.85	36.86	54.73	60.46	57.35
PRKCQ	124.04	84.68	94.57	67.53	55.99	53.49	52.38
GPRC5C	1677.74	859.23	982.01	1215.81	994.21	852.88	915.81
LENEP	57.78	79.21	100.50	87.40	72.12	93.43	105.06
MYNN	93.35	79.75	81.41	94.33	116.82	91.15	114.73
ZNF395	595.06	876.07	566.64	514.95	613.32	686.73	701.31
MESP1	65.21	56.97	54.89	78.12	62.07	70.87	69.65
UNC45A	146.62	144.13	138.85	168.66	99.39	108.87	126.63
PRKCSH	1346.87	1181.99	1225.54	1292.10	835.91	768.98	712.48
AXL	241.99	206.96	294.15	176.36	187.29	187.52	145.07
ZNF302	192.02	328.44	263.78	186.50	329.01	308.17	308.00
ACSS2	1027.77	1268.32	2232.43	887.44	1417.27	1427.92	1472.45
KMT2E	425.73	400.29	317.21	373.33	587.03	437.12	392.70
RNF114	569.40	492.00	449.26	409.30	647.26	608.41	570.55
ZC4H2	88.12	109.59	85.73	71.80	154.44	175.50	185.39
CMAS	80.24	181.80	211.06	156.54	149.99	147.15	94.93
C19orf80	555.98	623.91	890.58	1632.08	459.75	517.06	415.61
BIN3	388.00	299.48	243.22	270.20	210.84	211.06	228.70
PRKCZ	618.62	651.63	376.71	345.04	485.46	577.51	560.59
APOBR	63.07	61.30	48.60	48.75	61.67	59.33	45.31
ERBB2IP	418.88	560.36	683.55	366.71	1003.34	759.60	747.02
LANCL2	123.40	145.73	120.42	132.97	90.88	99.07	97.42
NXT2	82.98	79.38	79.28	55.41	113.30	97.71	81.33
CTTNBP2NL	24.88	30.32	31.37	35.85	39.67	40.39	36.63
PRKDC	109.85	116.25	166.98	180.22	141.85	142.05	120.39
