GENE	Liver_Normal.Tissue: GSM176332	Liver_Normal.Tissue: GSM176333	Liver_Normal.Tissue: GSM176334	Liver_Normal.Tissue: GSM176335	Liver_Normal.Tissue: GSM279063	Liver_Normal.Tissue: GSM279064	Liver_Normal.Tissue: GSM279065
MORN4	115.52	136.97	208.86	183.33	81.37	86.33	97.05
ZFYVE27	213.98	121.01	174.62	124.78	161.55	168.58	186.92
MMP21	11.81	11.99	11.25	10.68	13.77	13.43	13.00
COMTD1	261.45	205.81	301.69	372.89	178.06	163.85	136.37
CLCNKB	112.53	161.04	175.62	221.61	139.78	130.49	116.53
FRA10AC1	394.07	455.81	409.30	325.86	484.58	497.59	507.20
ANKRD22	42.32	40.55	41.00	33.99	30.58	30.03	27.25
SFXN2	481.14	840.56	524.54	558.38	649.28	839.16	898.52
PDZD8	98.15	82.44	121.79	96.81	135.40	117.30	94.46
ADD1	559.04	582.94	370.70	493.43	781.82	796.87	857.74
BORCS7	1134.47	1040.38	1191.20	655.70	1800.02	1780.29	1675.88
CLU	2980.01	3362.46	2912.01	3977.37	4232.81	4545.43	4713.23
CLIC1	679.72	557.06	769.35	778.58	325.86	315.22	334.46
NUDT9P1	23.76	23.02	21.58	25.28	21.41	22.24	26.21
AGAP11	21.22	25.06	18.16	20.60	23.94	21.21	21.85
GSTO2	98.95	126.30	88.18	153.92	73.83	73.39	70.47
SFR1	17.34	18.01	22.64	16.38	16.83	17.74	17.16
CALHM3	25.26	29.26	26.47	27.77	22.31	42.16	22.96
CLIC2	27.48	25.13	45.84	39.25	38.79	42.43	40.27
CLRN3	342.68	657.43	287.42	145.00	619.13	737.35	633.19
ANAPC16	663.75	687.68	657.75	661.32	912.45	834.52	839.62
PNLIPRP3	17.66	18.35	16.06	16.15	11.82	13.00	14.51
SFXN4	248.14	253.14	267.00	442.92	281.05	255.31	270.71
CPXM2	95.00	105.18	89.44	90.30	99.27	97.84	115.09
CLK1	732.25	867.13	880.70	463.94	1324.65	1262.09	1191.20
CLK2	778.15	612.01	630.17	475.99	902.20	819.95	891.57
C11orf74	19.28	23.60	27.73	25.39	25.93	19.31	23.46
CLK3	48.07	31.66	30.17	47.64	63.32	75.52	57.49
ADD2	59.52	64.22	53.42	55.63	50.07	57.69	62.61
OR5P2	41.31	38.66	61.14	37.32	46.09	42.82	52.87
OR5P3	24.89	33.01	25.74	23.36	27.15	28.50	24.97
GYLTL1B	164.62	179.52	145.00	129.22	165.66	191.87	224.02
TPP1	642.16	469.18	646.99	615.20	414.92	466.88	418.88
SLC36A4	59.59	54.55	67.05	67.64	123.31	125.17	104.10
FAT3	22.63	24.51	28.26	25.44	40.76	40.82	39.22
CLN3	221.21	191.25	435.07	257.76	123.90	148.41	146.72
TMEM45B	37.04	36.28	37.00	39.34	179.64	201.15	212.45
CYP2R1	117.51	115.03	162.46	126.63	152.55	218.50	209.44
CASP12	18.53	17.39	17.18	17.69	19.84	20.36	17.84
COLCA2	40.36	32.68	40.06	35.83	44.20	38.31	43.32
PIH1D2	14.48	17.97	17.90	20.36	17.64	19.40	16.31
CLN5	132.97	194.54	172.02	138.15	172.23	160.05	128.79
NXPE1	31.32	32.45	30.14	33.72	31.58	31.45	32.44
AMICA1	188.13	124.96	117.16	128.60	178.42	121.95	109.29
DNAJC24	296.21	317.50	425.47	225.52	529.36	537.49	557.72
CLNS1A	1541.69	1366.24	1247.57	1243.42	1564.08	1468.27	1475.31
DEPDC4	13.15	15.56	15.27	14.10	14.60	14.59	16.23
LRRK2	64.78	55.90	47.33	35.84	150.64	125.55	96.33
CLPS	69.32	92.15	47.94	70.34	67.89	67.78	79.80
CCDC38	39.37	29.56	21.96	33.27	47.35	62.22	39.17
TMEM52B	13.46	13.38	12.92	15.77	12.72	13.83	14.24
CLPTM1	801.97	764.25	723.98	704.96	197.14	232.58	218.23
ADD3	464.91	858.75	587.77	582.94	576.55	583.91	520.99
FAM186A	16.60	13.74	15.97	14.99	15.89	15.09	15.26
C12orf45	321.93	425.88	358.29	330.45	228.70	228.52	252.60
CLTA	1442.94	1487.01	1261.04	1515.31	1117.07	1126.94	1217.66
SDR9C7	20.65	22.62	18.05	23.22	21.94	16.72	17.26
LRIG3	36.83	42.46	43.61	35.71	48.42	42.78	43.68
TMEM132D	24.92	22.12	23.49	25.07	27.92	34.52	22.03
SLC15A4	327.87	316.95	419.03	426.44	427.30	425.17	447.11
RHEBL1	49.74	47.52	44.71	45.92	48.13	37.94	40.08
C12orf54	20.02	20.54	24.55	20.98	18.18	21.42	20.21
ZNF641	55.20	69.80	63.79	58.35	72.07	90.34	62.24
TPH2	18.68	17.74	19.09	22.09	14.88	18.04	19.19
CLTB	524.94	380.01	353.12	480.97	290.56	283.64	312.26
SP7	27.25	22.37	24.21	27.42	26.89	30.75	25.78
GTSF1	62.97	57.83	50.68	55.47	36.69	46.60	40.39
KRT74	79.93	83.84	77.83	85.32	73.89	72.79	74.92
CLTC	2879.49	2716.63	3663.48	3418.15	3837.10	4072.50	3964.44
NEDD1	19.03	22.80	24.82	23.79	21.14	19.85	22.15
IKBIP	21.91	17.18	19.33	19.63	20.80	19.05	18.63
ERP27	89.93	91.06	97.99	73.27	57.63	60.88	51.89
AEBP2	85.05	101.67	71.15	54.88	235.44	180.44	191.25
BTBD11	25.41	25.76	25.46	25.94	20.36	20.19	22.42
SPIC	12.89	12.32	13.92	17.52	13.47	14.51	14.38
CMA1	25.48	32.23	32.75	28.69	32.29	31.77	26.18
ANO4	23.51	24.57	24.58	22.67	20.81	20.07	22.02
ALKBH2	177.18	363.45	200.90	333.86	197.88	184.23	154.14
FOXN4	66.71	66.45	59.38	59.64	46.35	49.75	53.19
SPPL3	295.05	322.11	329.61	247.02	375.90	418.33	396.48
TEX29	31.22	37.42	33.78	42.78	34.48	42.70	39.41
METTL21EP	24.64	27.14	25.97	34.91	24.02	22.43	24.08
RXFP2	18.24	16.01	16.61	14.28	17.82	17.29	14.88
TEX26	23.85	19.09	21.71	17.50	18.11	21.15	18.68
SLAIN1	23.11	21.90	24.51	23.82	83.30	67.49	90.66
SPACA7	20.00	26.00	25.16	22.55	21.99	19.91	22.43
TDRD9	16.57	17.87	16.58	16.42	18.10	15.92	17.51
ANKRD9	226.33	217.22	483.71	804.14	168.32	169.04	205.71
AK7	32.57	23.78	31.97	36.75	30.86	26.61	32.01
IFI27L1	516.71	366.48	466.88	439.80	202.46	228.57	320.44
C14orf28	81.50	62.34	62.52	69.38	147.65	153.25	134.41
TRAPPC6B	287.90	311.46	223.56	203.69	577.51	661.91	561.02
C14orf79	149.84	136.50	133.38	208.44	178.76	134.02	153.32
PLD4	33.83	39.65	35.35	36.41	34.40	50.15	39.29
ADSSL1	428.16	383.85	582.94	789.28	280.43	307.38	296.13
RNASE11	18.82	20.88	21.24	18.84	19.36	21.08	16.99
TPPP2	34.47	95.85	42.84	42.87	52.52	67.44	64.08
MRPL52	449.26	441.26	547.80	548.86	366.28	330.75	388.10
LRR1	80.13	94.86	90.03	108.41	83.65	82.44	80.11
KLHDC1	15.14	17.83	15.41	15.50	18.63	15.71	17.54
FRMD6	131.58	97.13	84.34	69.80	505.86	414.52	359.16
SOCS4	35.78	36.69	43.97	32.83	50.18	48.42	52.12
GPHB5	74.71	97.93	71.13	89.58	74.30	76.82	84.33
NOXRED1	33.93	35.14	29.28	26.08	41.05	33.18	37.59
JDP2	137.56	81.32	111.16	115.90	127.20	121.38	135.63
ISCA2	215.79	249.19	358.52	323.79	225.64	258.51	347.31
ACOT4	108.31	152.00	187.57	242.83	160.33	182.47	115.90
TTC8	161.23	187.71	349.51	210.78	240.48	306.79	227.45
TC2N	14.33	13.30	20.55	14.46	22.14	22.89	22.64
SLC24A4	20.59	26.30	24.59	24.20	22.96	21.51	20.76
SLC25A29	360.81	389.10	373.46	424.32	330.75	327.49	344.63
DEGS2	110.82	109.54	102.25	87.27	55.81	65.63	50.23
CCR1	158.40	65.98	189.02	157.50	54.70	58.94	60.05
LEO1	75.13	110.77	86.18	130.18	103.41	103.36	76.77
C15orf40	93.71	110.21	104.94	91.04	185.57	170.71	148.08
SENP8	27.58	27.89	24.05	29.68	26.75	25.00	25.73
MTFMT	38.25	42.30	34.34	42.40	29.58	37.89	35.15
SLC51B	22.51	18.07	18.11	30.36	19.06	16.45	17.34
TARSL2	140.08	134.57	103.98	96.57	187.66	130.77	156.77
CCR3	30.81	35.37	39.48	33.93	29.54	33.89	35.25
LRRC28	130.18	160.37	109.29	83.45	68.72	96.29	73.18
CCR4	37.78	40.56	53.37	39.66	35.44	47.60	40.68
CCR5	718.73	660.13	485.46	535.45	341.47	461.54	410.35
C15orf27	37.39	38.54	39.99	37.98	26.70	26.86	24.17
CCR6	20.45	21.87	18.08	23.84	16.03	17.42	17.74
NIPA1	43.04	40.60	44.97	46.82	85.37	70.33	60.75
HYKK	58.56	65.71	63.91	69.58	86.59	80.44	103.72
CCR7	39.21	39.40	50.51	38.46	33.71	23.99	23.73
WHAMM	209.28	100.84	143.22	155.64	330.09	279.27	338.24
C16orf46	39.00	43.59	54.34	44.36	88.98	84.44	64.99
CCR8	38.88	35.22	34.67	31.65	35.54	52.67	33.46
NTAN1	179.33	127.63	123.61	152.00	178.19	171.25	210.78
FOPNL	278.05	275.86	251.72	269.90	445.47	415.07	315.39
DNAAF1	161.51	147.54	119.97	221.05	122.07	120.42	171.89
DCUN1D3	55.40	46.90	60.22	41.98	56.41	76.11	70.85
ACKR2	89.30	76.47	80.48	72.80	69.38	62.38	61.87
CMTM3	161.08	205.60	238.28	143.99	133.67	146.72	141.30
C16orf78	41.71	50.78	48.10	36.08	33.52	33.47	27.11
PLIN2	3950.99	1445.75	1540.09	2346.02	1384.93	1366.24	1317.79
SPATA2L	387.14	314.87	219.96	422.21	377.07	305.47	446.96
SPATA33	51.86	52.16	62.03	56.15	39.79	39.83	40.26
NOXO1	61.96	49.76	51.01	50.41	50.56	36.27	42.17
CCDC78	19.78	17.48	20.62	24.84	16.58	22.65	18.58
CMKLR1	123.46	100.79	103.95	69.05	69.68	58.75	63.57
IQCK	97.80	109.31	85.43	78.66	95.45	85.99	110.98
LTB4R	105.27	95.06	90.44	79.09	75.97	71.38	76.70
ZG16B	29.82	37.25	30.15	37.01	25.27	33.50	27.02
PRSS30P	38.68	43.35	42.06	46.17	37.05	37.31	31.82
PAQR4	216.56	327.10	291.37	169.82	118.84	161.62	138.52
ZC3H18	89.98	77.18	108.38	118.20	76.38	62.77	82.50
CDYL2	144.68	131.84	190.73	134.11	109.80	78.09	93.66
ANKS3	240.28	165.42	176.06	126.99	142.98	146.01	126.54
UBALD1	388.48	381.20	364.68	325.20	218.40	258.46	223.22
Sep-12	96.55	131.49	135.18	131.03	68.87	167.54	94.33
TMEM219	1196.74	1084.64	845.23	920.26	653.93	708.05	657.75
EARS2	225.47	135.02	229.81	172.40	185.30	187.61	155.75
SNX20	22.33	21.41	18.85	21.42	16.80	24.27	20.74
TMEM170A	48.11	38.25	44.04	49.71	60.79	46.63	53.17
ABCC2	193.07	376.00	415.61	110.93	844.29	827.15	840.56
METTL23	734.08	767.38	622.31	793.01	811.47	878.14	794.33
HSF5	14.38	17.13	20.64	18.76	18.18	20.44	18.74
MSI2	41.18	53.98	49.20	48.05	36.67	46.18	42.08
SLC38A10	121.70	188.89	161.39	121.36	157.58	108.11	140.19
CANT1	302.88	194.82	202.01	213.98	266.21	315.39	302.46
USH1G	451.41	486.33	341.77	318.40	320.24	349.92	302.29
CD300LB	164.65	150.38	237.47	164.13	138.06	135.08	134.11
KIF19	33.02	37.96	35.78	36.35	43.54	39.35	39.35
ZPBP2	20.20	19.66	19.88	19.23	21.89	28.54	22.07
CYB5D1	163.81	221.15	196.24	191.30	278.13	293.23	300.83
USP43	32.21	20.03	69.41	50.49	38.74	28.42	41.71
KRBA2	102.35	124.52	101.00	91.86	204.52	190.11	159.71
C17orf64	24.39	21.27	31.62	27.06	29.99	25.34	28.97
SPATA32	48.83	57.99	50.69	49.91	53.92	60.32	51.46
HEXIM2	62.06	99.72	64.53	81.27	85.24	69.51	87.02
CCDC43	61.63	60.13	58.42	86.79	97.20	95.00	90.42
CNTD1	34.90	33.99	50.94	39.98	39.44	41.25	45.46
TMEM132E	41.77	39.99	54.46	46.03	37.85	34.76	32.77
WFIKKN2	38.96	44.07	37.13	37.66	35.92	34.52	43.66
B4GALNT2	39.62	34.34	34.17	49.95	38.58	36.57	39.69
SPACA3	22.70	24.91	31.41	20.10	25.15	19.11	23.69
SGK494	30.51	32.82	41.16	37.98	62.52	56.26	52.81
SEZ6	106.71	116.71	144.58	153.36	64.70	83.09	79.02
ANKRD13B	92.12	110.23	100.75	74.25	68.28	57.88	62.76
SLC43A2	173.93	101.74	201.80	168.00	65.65	55.99	64.21
CYB5D2	310.21	504.01	313.32	366.28	250.52	289.68	299.14
C17orf49	460.07	196.24	343.29	239.40	185.48	138.35	172.61
ZFP3	39.37	47.47	31.45	33.26	55.22	49.12	55.40
GGT6	29.19	33.78	29.72	39.81	33.22	33.46	30.88
SPNS2	225.41	177.18	155.15	204.31	159.24	196.35	203.12
EFCAB13	20.32	20.47	22.54	17.49	22.48	25.17	24.45
MRPL10	218.23	378.59	263.93	327.87	420.57	431.17	431.29
WDR81	764.25	824.00	705.99	648.16	1188.40	1265.24	1371.18
ADH1A	3526.20	6843.89	5701.40	4733.20	4017.55	4100.55	4030.94
TBC1D16	99.39	115.58	85.20	120.10	133.29	110.72	131.96
GJD3	74.14	73.50	73.62	66.00	65.61	61.85	66.94
KRT222	23.13	23.33	21.39	18.49	47.26	20.17	29.18
KRT40	15.93	16.93	16.76	17.18	14.91	15.16	16.55
LRRC75A-AS1	255.38	481.47	382.89	333.58	334.16	318.58	181.21
ZSWIM7	181.35	188.09	155.83	162.90	154.85	154.74	156.97
MIEF2	68.83	69.62	53.54	94.65	79.53	78.04	85.58
SLC5A10	90.94	67.53	120.10	102.75	70.06	81.50	107.11
FAM210A	78.24	71.29	86.65	152.92	139.41	137.56	130.21
INO80C	191.16	171.34	120.50	164.89	186.55	147.40	172.86
TTC39C	1268.32	1806.52	1988.96	1975.36	1826.80	1546.40	1436.16
FAM69C	180.81	116.17	124.90	162.46	124.31	164.86	110.36
CLDND2	55.67	63.04	63.71	55.81	48.37	62.62	78.03
ZNF816	95.23	105.23	139.04	92.75	77.13	94.44	82.69
CNGB1	34.56	28.93	27.81	49.83	24.61	27.84	30.49
RAVER1	199.13	190.16	128.79	171.55	76.28	87.96	104.08
COX6B2	87.64	75.45	90.88	99.23	54.15	63.95	58.23
CALR3	18.77	18.70	16.63	17.65	18.19	25.50	20.81
C19orf70	576.79	781.82	642.70	836.84	338.24	284.64	330.66
CNGA1	197.64	390.97	307.30	116.80	239.02	246.24	259.70
ADH1B	7272.32	10638.45	7391.24	6652.59	10232.00	10366.20	9858.83
TRAPPC5	266.43	277.61	262.29	357.97	128.85	150.06	161.87
PCP2	44.87	59.56	47.58	32.66	24.72	38.89	35.51
OSCAR	20.28	23.83	28.47	24.12	21.35	25.14	21.05
ZNF441	16.04	14.07	15.81	15.04	15.37	16.51	15.55
ZNF491	66.56	81.62	59.10	108.48	80.74	77.99	79.50
ZNF440	15.72	15.22	21.29	18.95	22.40	16.57	17.78
SWSAP1	52.20	49.22	57.02	47.06	51.65	57.27	53.01
CCDC159	175.80	209.82	172.78	173.16	160.05	123.67	146.93
JOSD2	224.02	158.81	141.03	221.72	148.05	129.75	149.49
IZUMO2	32.01	42.41	43.89	40.68	30.60	32.88	32.99
CPT1C	40.30	39.00	52.38	38.13	40.29	27.73	61.57
ALDH16A1	331.05	311.37	344.20	257.62	136.70	168.96	134.69
NTN5	42.90	42.29	34.91	34.10	36.49	40.60	42.99
CNGA3	14.23	15.63	13.42	15.84	20.78	13.24	13.14
NLRP13	46.06	42.76	48.57	47.97	38.50	47.12	41.66
NLRP8	118.56	77.58	81.83	57.43	57.90	69.05	69.29
NLRP5	37.73	43.74	30.49	34.75	32.55	29.23	31.55
ZNF787	234.22	161.98	123.87	147.50	125.34	89.26	122.01
ZNF573	118.23	148.58	68.29	87.56	205.13	180.01	154.51
WDR88	19.67	19.56	17.27	17.93	21.25	17.45	16.80
TMIGD2	428.99	423.91	332.50	424.05	438.00	298.54	225.17
EID2B	21.63	21.32	19.56	16.43	22.91	22.34	22.69
ZNF57	55.38	30.47	31.76	52.16	36.51	37.13	44.14
IRGQ	33.06	34.75	25.34	37.08	21.34	26.98	29.94
ZNF428	124.08	169.33	119.54	101.23	83.11	85.81	91.51
CNGA4	27.05	26.11	22.76	31.59	29.46	27.60	28.81
JSRP1	110.13	98.67	156.81	141.82	36.19	41.07	31.26
MOB3A	123.90	92.91	111.05	78.38	88.08	116.74	99.97
MFSD12	452.98	347.63	329.20	306.51	298.63	285.51	303.13
GIPC3	36.91	40.77	31.08	30.95	39.84	43.47	31.10
NDUFA11	1254.85	1696.68	1148.15	1639.23	841.96	887.99	1117.07
MISP	280.35	372.66	302.19	173.51	132.09	153.54	156.69
LRRC25	194.58	239.85	296.30	197.39	167.84	154.47	176.48
OR1I1	119.69	105.91	113.72	83.85	111.47	106.13	92.93
WTIP	114.33	100.08	122.79	106.20	80.10	77.69	89.70
ZNF792	21.05	18.82	21.99	20.89	25.58	22.98	23.50
NR2C2AP	198.54	165.50	120.64	121.19	102.63	131.74	115.79
HSPB6	140.35	125.76	122.48	169.50	118.46	118.56	126.03
PLK3	129.90	124.37	144.93	155.57	110.82	86.94	79.84
CCDC105	42.52	43.94	41.26	33.87	43.65	51.98	63.75
CYP4F22	85.47	74.79	84.13	110.85	40.03	33.67	39.75
FBXO27	119.37	145.17	123.55	97.29	61.94	72.15	48.47
CNN1	47.85	45.30	33.87	44.62	202.87	285.43	292.02
PLK5	87.99	91.23	96.55	112.14	75.50	71.88	85.54
C19orf47	107.31	111.21	92.56	89.83	75.48	80.90	84.24
ANKLE1	26.11	24.81	23.71	23.56	25.21	19.52	24.22
C2CD4C	143.46	191.39	290.32	250.12	183.88	98.48	114.36
CNN2	284.72	426.03	356.98	436.52	429.29	421.94	463.30
RPTN	19.54	17.85	23.18	17.68	14.35	16.12	12.74
TDRD10	139.82	163.37	218.67	150.24	137.60	138.81	166.28
SHE	121.13	138.78	197.09	105.73	160.96	107.43	136.48
KDF1	48.22	49.18	42.83	44.33	40.99	30.91	40.79
CNN3	511.33	513.24	355.67	814.57	293.31	333.58	218.12
CCSAP	14.52	13.58	14.51	12.74	15.22	15.13	16.36
LRRC38	13.66	15.85	15.63	15.82	13.40	13.39	14.48
PUSL1	95.79	65.80	106.15	72.13	91.41	80.94	121.07
B3GALT6	357.75	286.62	224.54	281.13	257.35	197.28	251.39
CNP	336.53	285.51	248.41	237.09	269.53	242.76	281.91
WDR63	17.35	16.83	14.76	17.32	16.45	15.82	14.39
KLHDC9	286.14	328.92	273.31	371.39	383.85	380.72	413.32
AXDND1	13.92	13.49	14.72	13.92	14.33	15.26	13.79
MAB21L3	14.68	15.41	16.33	16.41	15.58	14.95	16.47
CNR1	26.10	28.51	27.95	24.00	26.35	25.13	25.66
IFFO2	124.78	102.16	74.25	121.53	85.58	90.86	78.83
SLC44A3	33.92	28.57	38.92	42.80	36.25	48.83	42.52
LOC126987	91.27	79.96	99.13	171.34	168.29	187.25	151.22
CNR2	93.18	129.62	109.57	116.55	98.11	91.82	81.53
ADH1C	2087.12	5197.13	4044.65	3964.44	2456.35	2399.30	2382.73
ATXN7L2	25.87	27.47	22.76	20.79	23.13	27.49	29.99
C1orf194	70.56	85.81	85.34	76.61	91.61	117.48	114.76
LYPLAL1	313.15	469.67	453.29	428.01	218.85	270.71	262.21
ATP6V1G3	21.35	20.33	22.84	20.39	18.13	19.41	20.72
CNTFR	182.33	155.95	191.74	205.76	161.75	160.22	217.50
ASB17	16.15	15.26	16.56	18.13	18.25	18.70	18.04
TYW3	116.47	147.86	124.34	175.19	106.82	140.35	98.51
ERICH3	16.55	16.03	15.62	15.45	15.21	14.46	15.97
LRRIQ3	14.77	15.50	15.37	13.19	15.77	15.46	14.83
TPRG1L	863.65	933.24	987.82	849.99	1276.87	1421.21	1365.01
FAM213B	174.28	152.32	177.75	200.69	139.28	167.17	156.36
MYOM3	54.27	65.76	48.51	50.82	60.92	56.63	59.45
CNTN1	63.73	55.02	38.37	52.15	28.86	34.25	27.96
DMBX1	16.66	14.33	14.53	14.19	14.56	13.92	13.32
TMCO2	42.19	48.90	46.96	48.11	45.60	41.62	42.76
ZNF684	39.01	19.18	66.36	32.19	117.92	104.96	108.44
TCEANC2	114.41	179.16	186.92	98.33	118.59	136.31	90.96
PODN	113.35	205.09	87.19	144.79	266.50	298.71	351.63
LRRC39	22.67	24.74	28.49	23.13	38.27	27.10	49.51
HMGB4	20.54	19.36	19.53	22.27	15.74	20.18	18.04
RNF19B	129.16	110.06	121.62	135.15	77.56	85.78	71.25
DCST2	21.41	22.83	19.73	25.60	27.48	36.47	35.42
DNAH14	15.56	13.88	15.11	15.66	15.96	13.75	16.89
TEDDM1	20.94	25.55	23.25	21.89	20.27	20.32	17.14
C1orf122	878.14	431.73	669.81	691.84	597.05	513.81	545.03
OSCP1	24.26	23.98	29.86	21.30	31.05	22.27	29.56
C1orf216	152.51	116.85	132.18	122.62	214.79	234.82	221.05
KLHDC7A	62.68	78.44	59.64	42.17	115.95	137.49	88.91
VWA5B1	24.64	29.42	27.35	24.81	28.78	25.71	26.64
UBXN10	50.63	29.87	54.12	81.08	36.60	40.46	36.86
C1orf87	25.54	22.36	30.45	32.16	24.04	21.18	23.31
COL1A1	1009.34	399.26	192.40	331.05	438.16	425.58	413.57
ARL8A	367.27	282.07	242.31	334.76	353.21	345.13	349.20
GOLT1A	579.88	557.72	489.51	631.00	369.90	348.25	382.15
COL1A2	637.64	297.63	169.28	153.66	624.22	607.36	607.86
UHMK1	438.16	336.35	397.22	316.40	385.29	374.73	253.07
FCRLB	67.77	64.92	87.37	52.82	53.94	64.36	57.85
ADH4	2774.48	7643.94	5966.63	4030.94	4792.62	4599.94	4752.93
WDR64	28.04	29.71	28.33	30.24	28.75	29.81	28.52
C1orf131	165.47	291.37	228.46	259.56	429.44	429.44	453.92
COL2A1	19.61	18.69	17.95	21.48	19.57	20.06	21.25
SPATA17	21.98	20.92	17.22	19.93	17.10	20.43	19.49
EDARADD	31.25	36.20	34.00	35.58	33.80	40.83	41.78
COL3A1	1588.89	828.06	565.74	782.26	1235.43	1205.24	1261.04
KLF17	29.39	36.60	42.14	29.78	32.33	34.63	32.25
TMEM125	104.34	116.39	75.57	89.36	86.20	109.49	93.90
TSACC	223.67	259.36	274.66	230.11	293.74	331.62	245.08
IQGAP3	29.17	30.44	30.33	28.75	25.06	26.15	26.84
APOA1BP	795.16	930.98	832.21	903.83	755.77	726.49	900.07
ARHGEF19	97.22	75.48	72.24	63.97	45.12	37.03	61.96
COL4A1	320.53	291.29	441.11	376.00	566.64	545.03	571.93
MRPL55	415.90	603.08	469.02	596.05	301.69	262.80	280.74
DRAM2	74.49	84.16	89.22	192.50	84.66	78.01	96.87
PIFO	50.29	42.74	56.52	34.29	41.96	49.90	51.88
C1orf162	241.42	97.16	245.98	271.08	130.34	176.62	153.99
TATDN3	58.02	53.96	63.93	83.16	60.75	48.31	48.87
BHLHE23	17.60	18.51	15.50	16.60	26.38	17.62	17.82
NKAIN4	39.27	40.00	35.68	43.97	39.75	39.95	45.62
VSTM2L	178.99	212.45	106.79	176.23	126.09	111.08	118.40
SNHG11	245.86	360.04	248.28	218.73	239.40	296.13	354.51
FITM2	74.03	59.47	78.71	85.63	67.67	53.52	58.32
WFDC12	197.43	187.05	172.40	195.36	129.22	115.49	104.37
SPATA25	54.22	57.86	68.19	51.60	46.64	40.36	53.81
COL4A2	257.98	196.75	181.40	342.89	272.86	298.21	337.72
TSHZ2	115.22	184.23	195.51	167.71	59.19	54.41	51.54
COL4A3	19.69	20.83	20.46	18.91	23.27	20.09	19.71
C20orf85	24.37	23.68	25.42	27.06	23.99	24.95	20.57
ZNF831	16.38	15.81	16.09	15.58	17.58	17.47	15.78
TBC1D20	180.76	143.05	160.84	189.16	206.80	252.07	235.86
SIRPD	92.62	88.61	140.01	135.28	89.92	113.49	101.81
C20orf141	203.33	144.93	128.30	160.92	132.97	95.79	92.64
PROKR2	28.51	37.60	32.51	31.04	32.84	34.22	44.95
COL4A4	28.07	24.76	23.29	24.38	55.43	53.10	44.11
SLX4IP	204.66	183.42	160.92	125.28	259.92	237.96	199.94
COL4A5	31.40	29.72	30.64	28.84	30.03	28.52	32.27
CSTL1	40.04	27.40	33.87	31.56	31.65	29.19	28.45
CST9L	20.43	20.21	22.61	17.76	21.87	19.78	23.36
CST9	37.92	28.81	26.53	29.44	43.00	33.71	37.46
MIR1-1HG	385.90	484.58	401.82	372.32	318.31	362.57	380.01
DUSP15	126.78	124.72	95.04	131.21	72.00	77.10	81.16
TSPY26P	18.77	30.05	24.08	22.73	23.71	24.33	24.48
BPIFB6	23.57	25.80	19.41	24.54	25.44	27.97	32.95
BPIFA3	63.63	67.00	83.78	98.18	140.79	74.42	108.26
C20orf144	25.16	27.44	25.85	23.43	31.11	38.24	30.06
CHMP4B	263.85	326.42	303.49	355.57	384.81	392.95	372.53
PIGU	263.71	213.04	258.93	185.94	159.20	188.13	138.61
HMGB3P1	273.61	185.16	227.04	216.12	138.35	141.17	128.45
FAM83C	37.76	35.66	30.66	38.87	26.53	26.07	27.21
COL4A6	23.59	22.67	22.58	25.76	31.09	30.83	31.05
GAB4	70.28	76.65	70.98	86.90	104.13	101.21	89.62
C22orf39	92.95	50.26	83.12	126.03	121.99	84.61	59.48
TANGO2	216.06	190.35	188.09	392.32	291.05	388.48	329.20
COL5A1	118.62	66.78	66.72	54.74	117.48	128.67	116.80
ADH5	834.06	1297.57	992.28	1017.42	1454.19	1431.98	1362.56
ZNF280A	53.30	65.14	46.41	52.43	48.58	43.84	54.30
SGSM1	34.41	33.38	40.28	31.12	37.20	34.12	40.15
EMID1	191.74	228.63	178.50	205.91	72.30	101.86	105.98
COL5A2	310.38	92.33	150.53	206.29	241.37	250.33	227.58
ANKRD54	252.88	248.72	342.37	243.66	388.00	396.34	417.26
COL6A1	146.47	163.97	106.67	132.43	81.25	92.15	80.39
PPP1R21	128.58	143.85	170.41	156.58	254.09	291.69	207.53
TRABD2A	94.91	87.64	61.38	67.25	75.52	75.97	94.00
COL6A2	476.85	340.54	92.02	245.33	296.46	332.11	339.55
TMEM150A	250.26	138.58	168.70	204.15	129.75	168.62	151.11
COL6A3	525.34	386.15	287.10	468.01	881.25	1057.69	994.89
NUP35	112.35	146.83	168.91	122.42	282.15	256.34	267.43
XIRP2	14.17	15.53	14.20	15.59	24.29	26.36	18.89
TYW5	74.52	68.62	71.98	84.68	83.36	83.18	80.05
COL7A1	137.99	128.73	127.05	146.69	57.44	53.62	62.45
LYG1	112.95	67.75	67.92	45.68	133.57	168.74	169.71
MITD1	106.94	94.31	131.93	92.62	131.46	124.87	117.38
DIS3L2	48.94	47.71	36.11	53.49	63.19	64.18	70.56
CMPK2	304.52	52.32	118.40	105.54	105.91	122.73	127.65
MBOAT2	108.23	123.64	100.66	166.65	96.96	159.86	91.43
CNTNAP5	49.50	42.14	45.38	48.99	35.97	40.89	32.06
TAF8	57.35	51.34	52.62	57.24	53.05	53.11	52.90
COL8A2	63.36	61.59	63.72	64.45	47.24	45.65	57.52
TMEM18	256.68	259.77	249.86	219.96	246.30	252.88	222.75
C7orf13	110.08	113.01	134.98	106.34	103.19	135.24	89.64
COL9A1	36.15	35.72	28.92	35.92	43.53	31.33	36.49
FBLN7	78.61	88.59	72.80	93.77	85.56	76.90	73.03
NEU4	685.16	599.53	477.38	716.69	390.97	399.37	468.17
